,City,Country,Latitude,Longitude,Temperature (C),Cloud Cover,Humidity,Wind Speed (m/s),Current as of:
0,Bluff,AU,-23.58,149.07,15.95,0,28,1.52,2019-09-04 14:12
1,Sinnamary,GF,5.38,-52.96,27.95,94,76,8.84,2019-09-04 14:12
2,Rikitea,PF,-23.12,-134.97,22.75,95,71,3.31,2019-09-04 14:12
3,Shelburne,CA,44.08,-80.2,17.04,90,72,5.1,2019-09-04 14:12
4,Carnarvon,ZA,-30.97,22.13,16.45,12,18,6.01,2019-09-04 14:12
5,Norman Wells,CA,65.28,-126.83,11.0,75,87,2.1,2019-09-04 14:12
6,Sitka,US,37.17,-99.65,32.24,0,43,5.36,2019-09-04 14:12
7,Waipawa,NZ,-39.94,176.59,12.22,100,96,1.4,2019-09-04 14:12
8,Ostrovnoy,RU,68.05,39.51,11.55,100,78,5.11,2019-09-04 14:12
9,Hermanus,ZA,-34.42,19.24,13.95,23,85,1.34,2019-09-04 14:12
10,Catuday,PH,16.29,119.81,28.15,100,81,9.85,2019-09-04 14:12
11,Busselton,AU,-33.64,115.35,2.38,79,66,5.12,2019-09-04 14:12
12,Lompoc,US,34.64,-120.46,26.15,90,77,4.1,2019-09-04 14:12
13,San Policarpo,PH,12.18,125.51,25.65,100,81,2.6,2019-09-04 14:12
14,Mataura,NZ,-46.19,168.86,7.78,100,96,1.73,2019-09-04 14:12
15,Chase,US,38.35,-98.35,29.54,1,58,5.7,2019-09-04 14:12
16,Cabo San Lucas,MX,22.89,-109.91,31.44,5,55,3.6,2019-09-04 14:12
17,Isangel,VU,-19.55,169.27,20.0,20,82,5.07,2019-09-04 14:12
18,Mount Isa,AU,-20.73,139.49,12.0,16,40,0.5,2019-09-04 14:12
19,Torbay,CA,47.66,-52.73,18.89,75,82,5.7,2019-09-04 14:12
20,Chokurdakh,RU,70.62,147.9,4.65,35,71,3.05,2019-09-04 14:12
21,Kidal,ML,18.44,1.41,38.45,45,18,5.25,2019-09-04 14:12
22,Kapaa,US,22.08,-159.32,27.64,40,66,5.7,2019-09-04 14:12
23,New Norfolk,AU,-42.78,147.06,5.36,75,80,1.2,2019-09-04 14:12
